county_fips,county_name,cases,population,cases_per_100k
0500000US05025,Cleveland County,35,7956,439.92
0500000US05027,Columbia County,107,23457,456.15
0500000US05029,Conway County,89,20846,426.94
0500000US05031,Craighead County,541,110332,490.34
0500000US05033,Crawford County,270,63257,426.83
0500000US05035,Crittenden County,833,47955,1737.05
0500000US05037,Cross County,95,16419,578.60
0500000US05039,Dallas County,10,7009,142.67
0500000US05041,Desha County,79,11361,695.36
0500000US05043,Drew County,89,18219,488.50
0500000US05045,Faulkner County,757,126007,600.76
0500000US05047,Franklin County,30,17715,169.35
0500000US05049,Fulton County,17,12477,136.25
0500000US05051,Garland County,320,99386,321.98
0500000US05053,Grant County,53,18265,290.17
0500000US05055,Greene County,147,45325,324.32
0500000US05057,Hempstead County,76,21532,352.96
0500000US05059,Hot Spring County,1213,33771,3591.84
0500000US05061,Howard County,135,13202,1022.57
0500000US05063,Independence County,71,37825,187.71
0500000US05065,Izard County,25,13629,183.43
0500000US05067,Jackson County,41,16719,245.23
0500000US05069,Jefferson County,850,66824,1272.00
0500000US05071,Johnson County,363,26578,1365.79
0500000US05073,Lafayette County,24,6624,362.32
0500000US05075,Lawrence County,115,16406,700.96
0500000US05077,Lee County,825,8857,9314.67
0500000US05079,Lincoln County,1048,13024,8046.68
0500000US05081,Little River County,42,12259,342.61
0500000US05083,Logan County,77,21466,358.71
0500000US05085,Lonoke County,194,73309,264.63
0500000US05087,Madison County,222,16576,1339.29
0500000US05089,Marion County,13,16694,77.87
0500000US05091,Miller County,254,43257,587.19
0500000US05093,Mississippi County,304,40651,747.83
0500000US05095,Monroe County,20,6701,298.46
0500000US05097,Montgomery County,8,8986,89.03
0500000US05099,Nevada County,109,8252,1320.89
0500000US05101,Newton County,8,7753,103.19
0500000US05103,Ouachita County,33,23382,141.13
0500000US05105,Perry County,33,10455,315.64
0500000US05107,Phillips County,172,17782,967.27
0500000US05109,Pike County,23,10718,214.59
0500000US05111,Poinsett County,72,23528,306.02
0500000US05113,Polk County,86,19964,430.78
0500000US05115,Pope County,641,64072,1000.44
0500000US05117,Prairie County,28,8062,347.31
0500000US05119,Pulaski County,2886,391911,736.39
0500000US05121,Randolph County,75,17958,417.64
0500000US05123,St. Francis County,903,24994,3612.87
0500000US05125,Saline County,458,122437,374.07
0500000US05127,Scott County,16,10281,155.63
0500000US05129,Searcy County,16,7881,203.02
0500000US05131,Sebastian County,806,127827,630.54
0500000US05133,Sevier County,800,17007,4703.95
0500000US05135,Sharp County,64,17442,366.93
0500000US05137,Stone County,22,12506,175.92
0500000US05139,Union County,273,38682,705.76
0500000US05141,Van Buren County,35,16545,211.54
0500000US05143,Washington County,4456,239187,1862.98
0500000US05145,White County,128,78753,162.53
0500000US05147,Woodruff County,12,6320,189.87
0500000US05149,Yell County,828,21341,3879.86
0500000US06001,Alameda County,7725,1671329,462.21
0500000US06003,Alpine County,2,1129,177.15
0500000US06005,Amador County,40,39752,100.62
0500000US06007,Butte County,338,219186,154.21
0500000US06009,Calaveras County,67,45905,145.95
0500000US06011,Colusa County,113,21547,524.44
0500000US06013,Contra Costa County,4605,1153526,399.21
0500000US06015,Del Norte County,60,27812,215.73
0500000US06017,El Dorado County,307,192843,159.20
0500000US06019,Fresno County,8282,999101,828.95
0500000US06021,Glenn County,164,28393,577.61
0500000US06023,Humboldt County,165,135558,121.72
0500000US06025,Imperial County,7827,181215,4319.18
0500000US06027,Inyo County,34,18039,188.48
0500000US06029,Kern County,6339,900202,704.18
0500000US06031,Kings County,2898,152940,1894.86
0500000US06033,Lake County,108,64386,167.74
0500000US06035,Lassen County,34,30573,111.21
0500000US06037,Los Angeles County,130242,10039107,1297.35
0500000US06039,Madera County,893,157327,567.61
0500000US06041,Marin County,3024,258826,1168.35
0500000US06043,Mariposa County,31,17203,180.20
0500000US06045,Mendocino County,113,86749,130.26
0500000US06047,Merced County,1884,277680,678.48
0500000US06049,Modoc County,0,8841,0.00
0500000US06051,Mono County,50,14444,346.16
0500000US06053,Monterey County,2419,434061,557.30
0500000US06055,Napa County,477,137744,346.30
0500000US06057,Nevada County,163,99755,163.40
0500000US06059,Orange County,23901,3175692,752.62
0500000US06061,Placer County,1055,398329,264.86
0500000US06063,Plumas County,11,18807,58.49
0500000US06065,Riverside County,24765,2470546,1002.41
0500000US06067,Sacramento County,5339,1552058,344.00
0500000US06069,San Benito County,354,62808,563.62
0500000US06071,San Bernardino County,18912,2180085,867.49
0500000US06073,San Diego County,19371,3338330,580.26
0500000US06075,San Francisco County,4426,881549,502.07
0500000US06077,San Joaquin County,6279,762148,823.86
0500000US06079,San Luis Obispo County,905,283111,319.66
0500000US06081,San Mateo County,3949,766573,515.15
0500000US06083,Santa Barbara County,3931,446499,880.41
0500000US06085,Santa Clara County,5983,1927852,310.35
0500000US06087,Santa Cruz County,568,273213,207.90
0500000US06089,Shasta County,195,180080,108.29
0500000US06091,Sierra County,1,3005,33.28
0500000US06093,Siskiyou County,41,43539,94.17
0500000US06095,Solano County,2075,447643,463.54
0500000US06097,Sonoma County,1650,494336,333.78
0500000US06099,Stanislaus County,4732,550660,859.33
0500000US06101,Sutter County,372,96971,383.62
0500000US06103,Tehama County,107,65084,164.40
0500000US06105,Trinity County,2,12285,16.28
0500000US06107,Tulare County,5678,466195,1217.95
0500000US06109,Tuolumne County,64,54478,117.48
0500000US06111,Ventura County,4246,846006,501.89
0500000US06113,Yolo County,839,220500,380.50
0500000US06115,Yuba County,180,78668,228.81
0500000US08001,Adams County,4719,517421,912.02
0500000US08003,Alamosa County,204,16233,1256.70
0500000US08005,Arapahoe County,5627,656590,857.00
0500000US08007,Archuleta County,12,14029,85.54
0500000US08009,Baca County,14,3581,390.95
0500000US08011,Bent County,4,5577,71.72
0500000US08013,Boulder County,1513,326196,463.83
0500000US08014,Broomfield County and City,341,70465,483.93
0500000US08015,Chaffee County,93,20356,456.87
0500000US08017,Cheyenne County,5,1831,273.08
0500000US08019,Clear Creek County,21,9700,216.50
0500000US08021,Conejos County,18,8205,219.38
0500000US08023,Costilla County,22,3887,565.99
0500000US08025,Crowley County,71,6061,1171.42
0500000US08027,Custer County,3,5068,59.20
0500000US08029,Delta County,83,31162,266.35
0500000US08031,Denver County,7832,727211,1076.99
0500000US08033,Dolores County,0,2055,0.00
0500000US08035,Douglas County,1134,351154,322.94
0500000US08037,Eagle County,761,55127,1380.45
0500000US08039,Elbert County,62,26729,231.96
0500000US08041,El Paso County,3000,720403,416.43
0500000US08043,Fremont County,43,47839,89.89
0500000US08045,Garfield County,403,60061,670.98
0500000US08047,Gilpin County,8,6243,128.14
0500000US08049,Grand County,27,15734,171.60
0500000US08051,Gunnison County,192,17462,1099.53
0500000US08053,Hinsdale County,3,820,365.85
0500000US08055,Huerfano County,4,6897,58.00
0500000US08057,Jackson County,7,1392,502.87
0500000US08059,Jefferson County,3007,582881,515.89
0500000US08061,Kiowa County,0,1406,0.00
0500000US08063,Kit Carson County,36,7097,507.26
0500000US08065,Lake County,54,8127,664.45
0500000US08067,La Plata County,134,56221,238.35
0500000US08069,Larimer County,899,356899,251.89
0500000US08071,Las Animas County,9,14506,62.04
0500000US08073,Lincoln County,4,5701,70.16
0500000US08075,Logan County,641,22409,2860.46
0500000US08077,Mesa County,140,154210,90.79
0500000US08079,Mineral County,16,769,2080.62
0500000US08081,Moffat County,15,13283,112.93
0500000US08083,Montezuma County,77,26183,294.08
0500000US08085,Montrose County,218,42758,509.85
0500000US08087,Morgan County,656,29068,2256.78
0500000US08089,Otero County,23,18278,125.83
0500000US08091,Ouray County,12,4952,242.33
0500000US08093,Park County,33,18845,175.11
0500000US08095,Phillips County,16,4265,375.15
0500000US08097,Pitkin County,130,17767,731.69
0500000US08099,Prowers County,36,12172,295.76
0500000US08101,Pueblo County,430,168424,255.31
0500000US08103,Rio Blanco County,6,6324,94.88
0500000US08105,Rio Grande County,80,11267,710.04
0500000US08107,Routt County,81,25638,315.94
0500000US08109,Saguache County,103,6824,1509.38
0500000US08111,San Juan County,2,728,274.73
0500000US08113,San Miguel County,48,8179,586.87
0500000US08115,Sedgwick County,0,2248,0.00
0500000US08117,Summit County,293,31011,944.83
0500000US08119,Teller County,60,25388,236.33
0500000US08121,Washington County,46,4908,937.25
0500000US08123,Weld County,2988,324492,920.82
0500000US08125,Yuma County,54,10019,538.98
0500000US09001,Fairfield County,16906,943332,1792.16
0500000US09003,Hartford County,11892,891720,1333.60
0500000US09005,Litchfield County,1510,180333,837.34
0500000US09007,Middlesex County,1335,162436,821.86
0500000US09009,New Haven County,12532,854757,1466.15
0500000US09011,New London County,1322,265206,498.48
0500000US09013,Tolland County,928,150721,615.71
0500000US09015,Windham County,632,116782,541.18
0500000US10001,Kent County,1829,180786,1011.69
0500000US10003,New Castle County,5732,558753,1025.86
0500000US10005,Sussex County,5076,234225,2167.15
0500000US11001,Washington,10801,705749,1530.43
0500000US12001,Alachua County,2043,269043,759.36
0500000US12003,Baker County,151,29210,516.95
0500000US12005,Bay County,1107,174705,633.64
0500000US12007,Bradford County,130,28201,460.98
0500000US12009,Brevard County,3237,601942,537.76
0500000US12011,Broward County,28253,1952778,1446.81
0500000US12013,Calhoun County,152,14105,1077.63
0500000US12015,Charlotte County,1074,188910,568.53
0500000US12017,Citrus County,523,149657,349.47
0500000US12019,Clay County,1403,219252,639.90
0500000US12021,Collier County,5968,384902,1550.53
0500000US12023,Columbia County,462,71686,644.48
0500000US12027,DeSoto County,830,38001,2184.15
0500000US12029,Dixie County,106,16826,629.98
0500000US12031,Duval County,12287,957755,1282.90
0500000US12033,Escambia County,3662,318316,1150.43
0500000US12035,Flagler County,473,115081,411.02
0500000US12037,Franklin County,31,12125,255.67
0500000US12039,Gadsden County,574,45660,1257.12
0500000US12041,Gilchrist County,134,18582,721.13
0500000US12043,Glades County,200,13811,1448.12
0500000US12045,Gulf County,88,13639,645.21
0500000US12047,Hamilton County,417,14428,2890.21
0500000US12049,Hardee County,596,26937,2212.57
0500000US12051,Hendry County,1163,42022,2767.60
0500000US12053,Hernando County,818,193920,421.82
0500000US12055,Highlands County,517,106221,486.72
0500000US12057,Hillsborough County,18360,1471968,1247.31
0500000US12059,Holmes County,225,19617,1146.96
0500000US12061,Indian River County,1158,159923,724.10
0500000US12063,Jackson County,581,46414,1251.78
0500000US12065,Jefferson County,80,14246,561.56
0500000US12067,Lafayette County,53,8422,629.30
0500000US12069,Lake County,2394,367118,652.11
0500000US12071,Lee County,8848,770577,1148.23
0500000US12073,Leon County,2246,293582,765.03
0500000US12075,Levy County,255,41503,614.41
0500000US12077,Liberty County,273,8354,3267.90
0500000US12079,Madison County,320,18493,1730.38
0500000US12081,Manatee County,4632,403253,1148.66
0500000US12083,Marion County,1403,365579,383.78
0500000US12085,Martin County,2680,161000,1664.60
0500000US12086,Miami-Dade County,60868,2716940,2240.31
0500000US12087,Monroe County,544,74228,732.88
0500000US12089,Nassau County,482,88625,543.87
0500000US12091,Okaloosa County,1130,210738,536.21
0500000US12093,Okeechobee County,518,42168,1228.42
0500000US12095,Orange County,16630,1393452,1193.44
0500000US12097,Osceola County,3861,375751,1027.54
0500000US12099,Palm Beach County,19847,1496770,1325.99
0500000US12101,Pasco County,3748,553947,676.60
0500000US12103,Pinellas County,10596,974996,1086.77
0500000US12105,Polk County,6983,724777,963.47
0500000US12107,Putnam County,695,74521,932.62
0500000US12109,St. Johns County,1788,264672,675.55
0500000US12111,St. Lucie County,2739,328297,834.31
0500000US12113,Santa Rosa County,1142,184313,619.60
0500000US12115,Sarasota County,2641,433742,608.89
0500000US12117,Seminole County,4083,471826,865.36
0500000US12119,Sumter County,622,132420,469.72
0500000US12121,Suwannee County,724,44417,1630.01
0500000US12123,Taylor County,130,21569,602.72
0500000US12125,Union County,109,15237,715.36
0500000US12127,Volusia County,3634,553284,656.81
0500000US12129,Wakulla County,122,33739,361.60
0500000US12131,Walton County,538,74071,726.33
0500000US12133,Washington County,151,25473,592.79
0500000US13001,Appling County,340,18386,1849.23
0500000US13003,Atkinson County,194,8165,2376.00
0500000US13005,Bacon County,301,11164,2696.17
0500000US13007,Baker County,44,3038,1448.32
0500000US13009,Baldwin County,643,44890,1432.39
0500000US13011,Banks County,155,19234,805.87
0500000US13013,Barrow County,625,83240,750.84
0500000US13015,Bartow County,950,107738,881.77
0500000US13017,Ben Hill County,229,16700,1371.26
0500000US13019,Berrien County,172,19397,886.74
0500000US13021,Bibb County,1637,153159,1068.82
0500000US13023,Bleckley County,88,12873,683.60
0500000US13025,Brantley County,138,19109,722.17
0500000US13027,Brooks County,224,15457,1449.18
0500000US13029,Bryan County,243,39627,613.22
0500000US13031,Bulloch County,607,79608,762.49
0500000US13033,Burke County,175,22383,781.84
0500000US13035,Butts County,339,24936,1359.48
0500000US13037,Calhoun County,169,6189,2730.65
0500000US13039,Camden County,265,54666,484.76
0500000US13043,Candler County,88,10803,814.59
0500000US13045,Carroll County,1024,119992,853.39
0500000US13047,Catoosa County,358,67580,529.74
0500000US13049,Charlton County,102,13392,761.65
0500000US13051,Chatham County,2452,289430,847.18
0500000US13053,Chattahoochee County,463,10907,4244.98
0500000US13055,Chattooga County,80,24789,322.72
0500000US13057,Cherokee County,1745,258773,674.34
0500000US13059,Clarke County,924,128331,720.01
0500000US13061,Clay County,61,2834,2152.44
0500000US13063,Clayton County,2754,292256,942.33
0500000US13065,Clinch County,115,6618,1737.69
0500000US13067,Cobb County,6952,760141,914.57
0500000US13069,Coffee County,923,43273,2132.97
0500000US13071,Colquitt County,1273,45600,2791.67
0500000US13073,Columbia County,842,156714,537.28
0500000US13075,Cook County,240,17270,1389.69
0500000US13077,Coweta County,881,148509,593.23
0500000US13079,Crawford County,57,12404,459.53
0500000US13081,Crisp County,311,22372,1390.13
0500000US13083,Dade County,79,16116,490.20
0500000US13085,Dawson County,173,26108,662.63
0500000US13087,Decatur County,309,26404,1170.28
0500000US13089,DeKalb County,8146,759297,1072.83
0500000US13091,Dodge County,140,20605,679.45
0500000US13093,Dooly County,218,13390,1628.08
0500000US13095,Dougherty County,2155,87956,2450.09
0500000US13097,Douglas County,1390,146343,949.82
0500000US13099,Early County,305,10190,2993.13
0500000US13101,Echols County,195,4006,4867.70
0500000US13103,Effingham County,275,64296,427.71
0500000US13105,Elbert County,173,19194,901.32
0500000US13107,Emanuel County,209,22646,922.90
0500000US13109,Evans County,48,10654,450.54
0500000US13111,Fannin County,127,26188,484.96
0500000US13113,Fayette County,509,114421,444.85
0500000US13115,Floyd County,715,98498,725.90
0500000US13117,Forsyth County,1129,244252,462.23
0500000US13119,Franklin County,259,23349,1109.26
0500000US13121,Fulton County,10381,1063937,975.72
0500000US13123,Gilmer County,240,31369,765.09
0500000US13125,Glascock County,15,2971,504.88
0500000US13127,Glynn County,1541,85292,1806.74
0500000US13129,Gordon County,523,57963,902.30
0500000US13131,Grady County,249,24633,1010.84
0500000US13133,Greene County,117,18324,638.51
0500000US13135,Gwinnett County,11114,936250,1187.08
0500000US13137,Habersham County,760,45328,1676.67
0500000US13139,Hall County,3790,204441,1853.84
0500000US13141,Hancock County,227,8457,2684.17
0500000US13143,Haralson County,106,29792,355.80
0500000US13145,Harris County,421,35236,1194.80
0500000US13147,Hart County,109,26205,415.95
0500000US13149,Heard County,80,11923,670.97
0500000US13151,Henry County,1751,234561,746.50
0500000US13153,Houston County,963,157863,610.02
0500000US13155,Irwin County,101,9416,1072.64
0500000US13157,Jackson County,510,72977,698.85
0500000US13159,Jasper County,88,14219,618.89
0500000US13161,Jeff Davis County,157,15115,1038.70
0500000US13163,Jefferson County,195,15362,1269.37
0500000US13165,Jenkins County,139,8676,1602.12
0500000US13167,Johnson County,126,9643,1306.65
0500000US13169,Jones County,132,28735,459.37
0500000US13171,Lamar County,147,19077,770.56
0500000US13173,Lanier County,164,10423,1573.44
0500000US13175,Laurens County,364,47546,765.57
0500000US13177,Lee County,422,29992,1407.04
0500000US13179,Liberty County,238,61435,387.40
0500000US13181,Lincoln County,63,7921,795.35
0500000US13183,Long County,68,19559,347.67
0500000US13185,Lowndes County,1828,117406,1556.99
0500000US13187,Lumpkin County,167,33610,496.88
0500000US13189,McDuffie County,153,21312,717.91
0500000US13191,McIntosh County,79,14378,549.45
0500000US13193,Macon County,138,12947,1065.88
0500000US13195,Madison County,164,29880,548.86
0500000US13197,Marion County,99,8359,1184.35
0500000US13199,Meriwether County,249,21167,1176.36
0500000US13201,Miller County,60,5718,1049.32
0500000US13205,Mitchell County,488,21863,2232.08
0500000US13207,Monroe County,223,27578,808.62
0500000US13209,Montgomery County,53,9172,577.85
0500000US13211,Morgan County,79,19276,409.84
0500000US13213,Murray County,292,40096,728.25
0500000US13215,Muscogee County,2707,195769,1382.75
0500000US13217,Newton County,876,111744,783.94
0500000US13219,Oconee County,230,40280,571.00
0500000US13221,Oglethorpe County,106,15259,694.67
0500000US13223,Paulding County,846,168667,501.58
0500000US13225,Peach County,144,27546,522.76
0500000US13227,Pickens County,114,32591,349.79
0500000US13229,Pierce County,251,19465,1289.49
0500000US13231,Pike County,113,18962,595.93
0500000US13233,Polk County,319,42613,748.60
0500000US13235,Pulaski County,60,11137,538.75
0500000US13237,Putnam County,212,22119,958.45
0500000US13239,Quitman County,22,2299,956.94
0500000US13241,Rabun County,79,17137,460.99
0500000US13243,Randolph County,212,6778,3127.77
0500000US13245,Richmond County,1588,202518,784.13
0500000US13247,Rockdale County,682,90896,750.31
0500000US13249,Schley County,29,5257,551.65
0500000US13251,Screven County,108,13966,773.31
0500000US13253,Seminole County,55,8090,679.85
0500000US13255,Spalding County,554,66703,830.55
0500000US13257,Stephens County,314,25925,1211.19
0500000US13259,Stewart County,214,6621,3232.14
0500000US13261,Sumter County,607,29524,2055.95
0500000US13263,Talbot County,93,6195,1501.21
0500000US13265,Taliaferro County,2,1537,130.12
0500000US13267,Tattnall County,192,25286,759.31
0500000US13269,Taylor County,35,8020,436.41
0500000US13271,Telfair County,175,15860,1103.41
0500000US13273,Terrell County,248,8531,2907.05
0500000US13275,Thomas County,590,44451,1327.30
0500000US13277,Tift County,981,40644,2413.64
0500000US13279,Toombs County,322,26830,1200.15
0500000US13281,Towns County,70,12037,581.54
0500000US13283,Treutlen County,46,6901,666.57
0500000US13285,Troup County,1742,69922,2491.35
0500000US13287,Turner County,189,7985,2366.94
0500000US13289,Twiggs County,40,8120,492.61
0500000US13291,Union County,109,24511,444.70
0500000US13293,Upson County,387,26320,1470.37
0500000US13295,Walker County,373,69761,534.68
0500000US13297,Walton County,536,94593,566.64
0500000US13299,Ware County,623,35734,1743.44
0500000US13301,Warren County,31,5254,590.03
0500000US13303,Washington County,180,20374,883.48
0500000US13305,Wayne County,156,29927,521.27
0500000US13307,Webster County,31,2607,1189.11
0500000US13309,Wheeler County,57,7855,725.65
0500000US13311,White County,171,30798,555.23
0500000US13313,Whitfield County,1772,104628,1693.62
0500000US13315,Wilcox County,135,8635,1563.41
0500000US13317,Wilkes County,108,9777,1104.63
0500000US13319,Wilkinson County,111,8954,1239.67
0500000US13321,Worth County,354,20247,1748.41
0500000US15001,Hawaii County,100,201513,49.63
0500000US15003,Honolulu County,905,974563,92.86
0500000US15005,Kalawao County,0,86,0.00
0500000US15007,Kauai County,43,72293,59.48
0500000US15009,Maui County,133,167417,79.44
0500000US16001,Ada County,3975,481587,825.40
0500000US16003,Adams County,12,4294,279.46
0500000US16005,Bannock County,140,87808,159.44
0500000US16007,Bear Lake County,2,6125,32.65
0500000US16009,Benewah County,29,9298,311.90
0500000US16011,Bingham County,78,46811,166.63
0500000US16013,Blaine County,549,23021,2384.78
0500000US16015,Boise County,8,7831,102.16
0500000US16017,Bonner County,59,45739,128.99
0500000US16019,Bonneville County,190,119062,159.58
0500000US16021,Boundary County,5,12245,40.83
0500000US16023,Butte County,0,2597,0.00
0500000US16025,Camas County,1,1106,90.42
0500000US16027,Canyon County,2010,229849,874.49
0500000US16029,Caribou County,16,7155,223.62
0500000US16031,Cassia County,323,24030,1344.15
0500000US16033,Clark County,0,845,0.00
0500000US16035,Clearwater County,5,8756,57.10
0500000US16037,Custer County,5,4315,115.88
0500000US16039,Elmore County,91,27511,330.78
0500000US16041,Franklin County,32,13876,230.61
0500000US16043,Fremont County,11,13099,83.98
0500000US16045,Gem County,57,18112,314.71
0500000US16047,Gooding County,84,15179,553.40
0500000US16049,Idaho County,11,16667,66.00
0500000US16051,Jefferson County,24,29871,80.35
0500000US16053,Jerome County,296,24412,1212.52
0500000US16055,Kootenai County,678,165697,409.18
0500000US16057,Latah County,36,40108,89.76
0500000US16059,Lemhi County,3,8027,37.37
0500000US16061,Lewis County,0,3838,0.00
0500000US16063,Lincoln County,43,5366,801.34
0500000US16065,Madison County,66,39907,165.39
0500000US16067,Minidoka County,264,21039,1254.81
0500000US16069,Nez Perce County,108,40408,267.27
0500000US16071,Oneida County,6,4531,132.42
0500000US16073,Owyhee County,87,11823,735.85
0500000US16075,Payette County,172,23951,718.13
0500000US16077,Power County,20,7681,260.38
0500000US16079,Shoshone County,8,12882,62.10
0500000US16081,Teton County,29,12142,238.84
0500000US16083,Twin Falls County,816,86878,939.25
0500000US16085,Valley County,24,11392,210.67
0500000US16087,Washington County,131,10194,1285.07
0500000US17001,Adams County,167,65435,255.22
0500000US17003,Alexander County,24,5761,416.59
0500000US17005,Bond County,20,16426,121.76
0500000US17007,Boone County,635,53544,1185.94
0500000US17009,Brown County,10,6578,152.02
0500000US17011,Bureau County,37,32628,113.40
0500000US17013,Calhoun County,1,4739,21.10
0500000US17015,Carroll County,20,14305,139.81
0500000US17017,Cass County,138,12147,1136.08
0500000US17019,Champaign County,1038,209689,495.02
0500000US17021,Christian County,50,32304,154.78
0500000US17023,Clark County,40,15441,259.05
0500000US17025,Clay County,5,13184,37.93
0500000US17027,Clinton County,247,37562,657.58
0500000US17029,Coles County,190,50621,375.34
